areasymbol,musym,muname,mukind,comppct_l,comppct_h,compname,compkind,runoff,tfact,wei,weg,erocl,soilslippot,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,cokey,slopelen_r,reannualpr_r,esrisymbology,kffact,mukey,Shape_Length,Shape_Area,mukey_cokey
CA708,59,"Lithic Xerumbrepts-Rock Outcrop-Rubble Land association, 15 to 50 percent slopes.",Association,,,Lithic Xerumbrepts,Taxon above family,Medium,1,48,6,,,,Inceptisols,,,,,,25435004,,,Inceptisols,0.140000000596046,471032,5971.143085346410771,1606679.645791127812117,471032_25435004
CA708,59,"Lithic Xerumbrepts-Rock Outcrop-Rubble Land association, 15 to 50 percent slopes.",Association,,,Lithic Xerumbrepts,Taxon above family,Medium,1,48,6,,,,Inceptisols,,,,,,25435004,,,Inceptisols,0.140000000596046,471032,31725.312010178855417,15744493.355357229709625,471032_25435004
CA708,74,Rock Outcrop-Rubble Land complex.,Complex,,,Rock outcrop,Miscellaneous area,Very high,,,,,,,,,,,,,25435042,,,No Soil,,471047,42570.394785025899182,25670466.695838741958141,471047_25435042
CA708,74,Rock Outcrop-Rubble Land complex.,Complex,,,Rock outcrop,Miscellaneous area,Very high,,,,,,,,,,,,,25435042,,,No Soil,,471047,54258.610904806933831,39904667.075191050767899,471047_25435042
CA708,74,Rock Outcrop-Rubble Land complex.,Complex,,,Rock outcrop,Miscellaneous area,Very high,,,,,,,,,,,,,25435042,,,No Soil,,471047,4137.014645175400801,725783.806949491030537,471047_25435042
CA708,75,"Rubble Land-Deadwood family association, 35 to 70 percent slopes.",Association,,,Rubble land,Miscellaneous area,High,,,,,,,,,,,,,25435044,,,Inceptisols,0.300000011920929,471048,19400.112971173315600,5932967.211134696379304,471048_25435044
CA708,79,"Sheld family,0 to 35 percent slopes.",Consociation,,,Sheld,Family,Medium,5,56,5,,,"Medial-skeletal, frigid Andic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Andic Xerumbrepts,medial-skeletal,,25435050,,,Inceptisols,0.189999997615814,471052,12108.404928813541119,5139362.928587399423122,471052_25435050
CA708,80,"Sheld family, glacial-Aquolls association, 0 to 35 percent slopes.",Association,,,Sheld,Family,Medium,5,48,6,,,"Medial-skeletal, frigid Andic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Andic Xerumbrepts,medial-skeletal,,25435052,,,Inceptisols,0.289999991655350,471053,1075.050551383360016,35381.077916671842104,471053_25435052
CA708,80,"Sheld family, glacial-Aquolls association, 0 to 35 percent slopes.",Association,,,Sheld,Family,Medium,5,48,6,,,"Medial-skeletal, frigid Andic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Andic Xerumbrepts,medial-skeletal,,25435052,,,Inceptisols,0.289999991655350,471053,35961.560248655921896,23026332.081197243183851,471053_25435052
CA708,81,"Sheld-Inville families-Sheld family, moderately deep complex, 0 to 35 percent slopes.",Complex,,,Sheld,Family,Medium,5,56,5,,,"Medial-skeletal, frigid Andic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Andic Xerumbrepts,medial-skeletal,,25435054,,,Inceptisols,0.209999993443489,471054,28851.241556220997154,11926590.961850153282285,471054_25435054
CA708,84,"Sheld family, moderately deep-Lithic Xerumbrepts association, 0 to 35 percent slopes.",Association,,,Sheld,Family,Low,2,56,5,,,"Medial-skeletal, frigid Andic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Andic Xerumbrepts,medial-skeletal,,25435061,,,Inceptisols,0.180000007152557,471057,389.547137150471713,882.007000752234262,471057_25435061
CA708,84,"Sheld family, moderately deep-Lithic Xerumbrepts association, 0 to 35 percent slopes.",Association,,,Sheld,Family,Low,2,56,5,,,"Medial-skeletal, frigid Andic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Andic Xerumbrepts,medial-skeletal,,25435061,,,Inceptisols,0.180000007152557,471057,13793.983088951445097,5081261.824137682095170,471057_25435061
CA708,85,"Sheld family, moderately deep-Lithic Xerumbrepts association, 35 to 70 percent slopes.",Association,,,Sheld,Family,Medium,2,56,5,,,"Medial-skeletal, frigid Andic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Andic Xerumbrepts,medial-skeletal,,25435063,,,Inceptisols,0.180000007152557,471058,26300.593286104554863,5696857.788470313884318,471058_25435063
CA708,85,"Sheld family, moderately deep-Lithic Xerumbrepts association, 35 to 70 percent slopes.",Association,,,Sheld,Family,Medium,2,56,5,,,"Medial-skeletal, frigid Andic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Andic Xerumbrepts,medial-skeletal,,25435063,,,Inceptisols,0.180000007152557,471058,17805.111176929851354,3580176.106710136402398,471058_25435063
CA708,86,"Sheld family-Sheld family, moderately deep complex, 0 to 35 percent slopes.",Complex,,,Sheld,Family,Medium,5,56,5,,,"Medial-skeletal, frigid Andic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Andic Xerumbrepts,medial-skeletal,,25435064,,,Inceptisols,0.180000007152557,471059,1878.513116438884936,163026.491875127481762,471059_25435064
CA708,88,"Sheld family-Sheld family, moderately deep complex, glacial,0 to 35 percent slopes.",Complex,,,Sheld,Family,Low,3,48,6,,,"Medial-skeletal, frigid Andic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Andic Xerumbrepts,medial-skeletal,,25435068,,,Inceptisols,0.230000004172325,471061,6198.515720853297353,1373019.871987030608580,471061_25435068
CA708,88,"Sheld family-Sheld family, moderately deep complex, glacial,0 to 35 percent slopes.",Complex,,,Sheld,Family,Low,3,48,6,,,"Medial-skeletal, frigid Andic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Andic Xerumbrepts,medial-skeletal,,25435068,,,Inceptisols,0.230000004172325,471061,10369.301823006169798,4168895.159312695730478,471061_25435068
CA708,88,"Sheld family-Sheld family, moderately deep complex, glacial,0 to 35 percent slopes.",Complex,,,Sheld,Family,Low,3,48,6,,,"Medial-skeletal, frigid Andic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Andic Xerumbrepts,medial-skeletal,,25435068,,,Inceptisols,0.230000004172325,471061,3722.962383740242331,690815.759710857644677,471061_25435068
CA708,91,"Sheld family, moderately deep-Sheld family-Rock Outcrop complex, 0 to 35 percent slopes.",Complex,,,Sheld,Family,Low,2,48,6,,,"Medial-skeletal, frigid Andic Xerumbrepts",Inceptisols,Umbrepts,Xerumbrepts,Andic Xerumbrepts,medial-skeletal,,25435074,,,Inceptisols,0.230000004172325,471064,9836.311465594159017,3556487.845627991948277,471064_25435074
CA708,96,"Skalan family, moderately deep-Deadwood family association, 35 to 70 percent slopes.",Association,,,Skalan,Family,High,3,56,5,,,"Loamy-skeletal, mixed, mesic Ultic Haploxeralfs",Alfisols,Xeralfs,Haploxeralfs,Ultic Haploxeralfs,loamy-skeletal,,25435086,,,Alfisols,0.219999998807907,471069,2858.194823387260385,103649.175694734323770,471069_25435086
