"areasymbol","cokey","comppct_r"
"CA708",27089762,30
"CA708",27089763,15
"CA708",27089764,3
"CA708",27089765,7
"CA708",27089766,6
"CA708",27089767,2
"CA708",27089768,2
"CA708",27089769,5
"CA708",27089770,5
"CA708",27089771,5
"CA708",27089772,5
"CA708",27089773,80
"CA708",27089774,8
"CA708",27089775,7
"CA708",27089776,85
"CA708",27089777,55
"CA708",27089778,35
"CA708",27089779,10
"CA708",27089780,8
"CA708",27089781,7
"CA708",27089782,85
"CA708",27089783,40
"CA708",27089784,25
"CA708",27089785,20
"CA708",27089786,5
"CA708",27089787,5
"CA708",27089788,5
"CA708",27089789,5
"CA708",27089790,95
"CA708",27089791,95
"CA708",27089792,5
"CA708",27089793,8
"CA708",27089794,7
"CA708",27089795,85
"CA708",27089796,60
"CA708",27089797,25
"CA708",27089798,8
"CA708",27089799,7
"CA708",27089800,8
"CA708",27089801,7
"CA708",27089802,60
"CA708",27089803,25
"CA708",27089804,95
"CA708",27089805,5
"CA708",27089806,65
"CA708",27089807,25
"CA708",27089808,5
"CA708",27089809,5
"CA708",27089810,8
"CA708",27089811,7
"CA708",27089812,50
"CA708",27089813,20
"CA708",27089814,15
"CA708",27089815,50
"CA708",27089816,40
"CA708",27089817,2
"CA708",27089818,2
"CA708",27089819,2
"CA708",27089820,1
"CA708",27089821,1
"CA708",27089822,1
"CA708",27089823,1
"CA708",27089824,5
"CA708",27089825,5
"CA708",27089826,5
"CA708",27089827,5
"CA708",27089828,50
"CA708",27089829,30
"CA708",27089830,60
"CA708",27089831,25
"CA708",27089832,8
"CA708",27089833,7
"CA708",27089834,8
"CA708",27089835,7
"CA708",27089836,50
"CA708",27089837,35
"CA708",27089838,85
"CA708",27089839,8
"CA708",27089840,7
"CA708",27089841,10
"CA708",27089842,40
"CA708",27089843,30
"CA708",27089844,20
"CA708",27089845,5
"CA708",27089846,5
"CA708",27089847,5
"CA708",27089848,50
"CA708",27089849,20
"CA708",27089850,15
"CA708",27089851,55
"CA708",27089852,30
"CA708",27089853,8
"CA708",27089854,7
"CA708",27089855,10
"CA708",27089856,10
"CA708",27089857,65
"CA708",27089858,15
"CA708",27089859,45
"CA708",27089860,35
"CA708",27089861,8
"CA708",27089862,7
"CA708",27089863,5
"CA708",27089864,85
"CA708",27089865,6
"CA708",27089866,3
"CA708",27089867,4
"CA708",27089868,2
"CA708",27089874,90
"CA708",27089875,10
"CA708",27089876,46
"CA708",27089877,44
"CA708",27089878,10
"CA708",27089879,46
"CA708",27089880,44
"CA708",27089881,5
"CA708",27089882,5
"CA708",27089883,46
"CA708",27089884,44
"CA708",27089885,10
"CA708",27089886,85
"CA708",27089887,5
"CA708",27089888,10
"CA708",27089889,85
"CA708",27089890,5
"CA708",27089891,10
"CA708",27089892,100
"CA708",27089893,100
"CA708",27089894,70
"CA708",27089895,20
"CA708",27089896,5
"CA708",27089897,5
"CA708",27089898,41
"CA708",27089899,39
"CA708",27089900,10
"CA708",27089901,10
"CA708",27089902,41
"CA708",27089903,39
"CA708",27089904,10
"CA708",27089905,10
"CA708",27089906,41
"CA708",27089907,39
"CA708",27089908,10
"CA708",27089909,10
"CA708",27089910,100
"CA708",27089911,85
"CA708",27089912,5
"CA708",27089913,5
"CA708",27089914,5
"CA708",27089915,10
"CA708",27089916,41
"CA708",27089917,39
"CA708",27089918,10
"CA708",27089919,85
"CA708",27089920,5
"CA708",27089921,5
"CA708",27089922,5
"CA708",27089923,100
"CA708",27089924,5
"CA708",27089925,5
"CA708",27089926,5
"CA708",27089927,85
"CA708",27089928,85
"CA708",27089929,5
"CA708",27089930,5
"CA708",27089931,5
"CA708",27089932,5
"CA708",27089933,5
"CA708",27089934,5
"CA708",27089935,70
"CA708",27089936,15
"CA708",27089937,85
"CA708",27089938,5
"CA708",27089939,5
"CA708",27089940,5
"CA708",27089941,5
"CA708",27089942,5
"CA708",27089943,5
"CA708",27089944,85
"CA708",27089945,55
"CA708",27089946,30
"CA708",27089947,5
"CA708",27089948,4
"CA708",27089949,3
"CA708",27089950,3
"CA708",27089951,20
"CA708",27089952,35
"CA708",27089953,30
"CA708",27089954,14
"CA708",27089955,65
"CA708",27089956,20
"CA708",27089957,5
"CA708",27089958,5
"CA708",27089959,5
"CA708",27089960,85
"CA708",27089961,10
"CA708",27089962,20
"CA708",27089963,65
"CA708",27089964,10
"CA708",27089965,5
"CA708",27089966,60
"CA708",27089967,25
"CA708",27089968,5
"CA708",27089969,5
"CA708",27089970,5
"CA708",27089971,60
"CA708",27089972,25
"CA708",27089973,5
"CA708",27089974,10
"CA708",27089975,30
"CA708",27089976,60
"CA708",27089977,15
"CA708",27089978,55
"CA708",27089979,5
"CA708",27089980,5
"CA708",27089981,5
"CA708",27089982,35
"CA708",27089983,50
"CA708",27089984,10
"CA708",27089985,50
"CA708",27089986,35
"CA708",27089987,10
"CA708",27089988,5
"CA708",27089989,30
"CA708",27089990,55
"CA708",27089991,5
"CA708",27089992,10
"CA708",27089993,85
"CA708",27089994,2
"CA708",27089995,2
"CA708",27089996,5
"CA708",27089997,1
"CA708",27089998,2
"CA708",27089999,3
"CA708",27090000,85
"CA708",27090001,2
"CA708",27090002,5
"CA708",27090003,8
"CA708",27090004,6
"CA708",27090005,2
"CA708",27090006,65
"CA708",27090007,2
"CA708",27090008,25
"CA708",27090009,3
"CA708",27090010,2
"CA708",27090011,10
"CA708",27090012,10
"CA708",27090013,75
"CA708",27090014,20
"CA708",27090015,15
"CA708",27090016,55
"CA708",27090017,2
"CA708",27090018,3
"CA708",27090019,5
"CA708",27090020,2
"CA708",27090021,4
"CA708",27090022,1
"CA708",27090023,3
"CA708",27090024,5
"CA708",27090025,85
"CA708",27090026,2
"CA708",27090027,85
"CA708",27090028,3
"CA708",27090029,10
"CA708",27090030,2
"CA708",27090031,3
"CA708",27090032,10
"CA708",27090033,35
"CA708",27090034,50
"CA708",27090035,25
"CA708",27090036,15
"CA708",27090037,20
"CA708",27090038,12
"CA708",27090039,3
"CA708",27090040,23
"CA708",27090041,2
"CA708",27090042,25
"CA708",27090043,30
"CA708",27090044,15
"CA708",27090045,15
"CA708",27090046,10
"CA708",27090047,5
"CA708",27090048,10
"CA708",27090049,15
"CA708",27090050,3
"CA708",27090051,65
"CA708",27090052,5
"CA708",27090053,2
"CA708",27090054,40
"CA708",27090055,55
"CA708",27090056,2
"CA708",27090057,3
"CA708",27090058,15
"CA708",27090059,20
"CA708",27090060,45
"CA708",27090061,2
"CA708",27090062,5
"CA708",27090063,10
"CA708",27090064,3
"CA708",27090065,15
"CA708",27090066,65
"CA708",27090067,1
"CA708",27090068,4
"CA708",27090069,5
"CA708",27090070,5
"CA708",27090071,5
"CA708",27090072,80
"CA708",27090073,10
"CA708",27090074,3
"CA708",27090075,2
"CA708",27090076,2
"CA708",27090077,3
"CA708",27090078,15
"CA708",27090079,55
"CA708",27090080,30
"CA708",27090081,20
"CA708",27090082,75
"CA708",27090083,2
"CA708",27090084,3
"CA708",27090085,35
"CA708",27090086,40
"CA708",27090087,10
"CA708",27090088,15
"CA708",27090089,85
"CA708",27090090,3
"CA708",27090091,2
"CA708",27090092,7
"CA708",27090093,3
"CA708",27090094,85
"CA708",27090095,5
"CA708",27090096,3
"CA708",27090097,3
"CA708",27090098,2
"CA708",27090099,2
"CA708",27090100,90
"CA708",27090101,1
"CA708",27090102,3
"CA708",27090103,3
"CA708",27090104,3
"CA708",27090105,85
"CA708",27090106,2
"CA708",27090107,2
"CA708",27090108,7
"CA708",27090109,4
"CA708",27090110,30
"CA708",27090111,10
"CA708",27090112,15
"CA708",27090113,40
"CA708",27090114,2
"CA708",27090115,2
"CA708",27090116,1
"CA708",27090117,15
"CA708",27090118,15
"CA708",27090119,20
"CA708",27090120,40
"CA708",27090121,2
"CA708",27090122,5
"CA708",27090123,2
"CA708",27090124,1
"CA708",27090125,10
"CA708",27090126,15
"CA708",27090127,35
"CA708",27090128,30
"CA708",27090129,2
"CA708",27090130,4
"CA708",27090131,4
"CA708",27090132,90
"CA708",27090133,3
"CA708",27090134,7
"CA708",27090135,20
"CA708",27090136,75
"CA708",27090137,5
"CA708",27090138,15
"CA708",27090139,35
"CA708",27090140,45
"CA708",27090141,5
"CA708",27090142,95
"CA708",27090143,3
"CA708",27090144,2
"CA708",27090145,15
"CA708",27090146,20
"CA708",27090147,25
"CA708",27090148,35
"CA708",27090149,5
"CA708",27090150,90
"CA708",27090151,1
"CA708",27090152,4
"CA708",27090153,5
"CA708",27090154,35
"CA708",27090155,50
"CA708",27090156,5
"CA708",27090157,5
"CA708",27090158,5
"CA708",27090159,90
"CA708",27090160,1
"CA708",27090161,4
"CA708",27090162,5
"CA612",26394986,85
"CA612",26394987,5
"CA612",26394988,1
"CA612",26394989,1
"CA612",26394990,2
"CA612",26394991,2
"CA612",26394992,3
"CA612",26394993,1
"CA612",26395003,85
"CA612",26395004,5
"CA612",26395005,1
"CA612",26395006,1
"CA612",26395007,2
"CA612",26395008,2
"CA612",26395009,3
"CA612",26395010,1
"CA612",26789116,5
"CA612",26789117,5
"CA612",26789118,5
"CA612",26789119,85
"CA612",26803514,90
"CA612",26803515,2
"CA612",26803516,2
"CA612",26803517,6
"CA612",27304375,3
"CA612",27304376,5
"CA612",27304377,5
"CA612",27304378,2
"CA612",27304379,5
"CA612",27304380,80
"CA612",27304381,40
"CA612",27304382,50
"CA612",27304383,2
"CA612",27304384,2
"CA612",27304385,6
"CA612",27304386,2
"CA612",27304387,60
"CA612",27304388,25
"CA612",27304389,2
"CA612",27304390,2
"CA612",27304391,3
"CA612",27304392,2
"CA612",27304393,2
"CA612",27304394,2
"CA612",27304395,15
"CA612",27304396,70
"CA612",27304397,2
"CA612",27304398,2
"CA612",27304399,2
"CA612",27304400,3
"CA612",27304401,2
"CA612",27304402,3
"CA612",27304403,1
"CA612",27304404,85
"CA612",27304405,1
"CA612",27304406,2
"CA612",27304407,3
"CA612",27304408,1
"CA612",27304409,5
"CA612",27304410,3
"CA612",27304411,80
"CA612",27304412,5
"CA612",27304413,5
"CA612",27304414,5
"CA612",27304415,5
"CA612",27304416,5
"CA612",27304417,5
"CA612",27304418,5
"CA612",27304419,85
"CA612",27304420,75
"CA612",27304421,12
"CA612",27304422,3
"CA612",27304423,8
"CA612",27304424,2
"CA612",27304425,90
"CA612",27304426,2
"CA612",27304427,3
"CA612",27304428,3
"CA612",27304429,2
"CA612",27304430,75
"CA612",27304431,10
"CA612",27304432,7
"CA612",27304433,6
"CA612",27304434,1
"CA612",27304435,1
"CA612",27304436,45
"CA612",27304437,40
"CA612",27304438,2
"CA612",27304439,2
"CA612",27304440,2
"CA612",27304441,3
"CA612",27304442,4
"CA612",27304443,2
"CA612",27304444,75
"CA612",27304445,2
"CA612",27304446,2
"CA612",27304447,4
"CA612",27304448,7
"CA612",27304449,10
"CA612",27304450,2
"CA612",27304451,2
"CA612",27304452,2
"CA612",27304453,2
"CA612",27304454,3
"CA612",27304455,5
"CA612",27304456,80
"CA612",27304457,2
"CA612",27304458,2
"CA612",27304459,70
"CA612",27304460,11
"CA612",27304461,12
"CA612",27304462,7
"CA612",27304463,45
"CA612",27304464,40
"CA612",27304465,2
"CA612",27304466,4
"CA612",27304467,1
"CA612",27304468,2
"CA612",27304469,2
"CA612",27304470,4
"CA612",27304471,70
"CA612",27304472,10
"CA612",27304473,11
"CA612",27304474,2
"CA612",27304475,2
"CA612",27304476,5
"CA612",27304477,20
"CA612",27304478,65
"CA612",27304479,5
"CA612",27304480,5
"CA612",27304481,5
"CA612",27304482,70
"CA612",27304483,2
"CA612",27304484,3
"CA612",27304485,5
"CA612",27304486,10
"CA612",27304487,10
"CA612",27304488,3
"CA612",27304489,2
"CA612",27304490,2
"CA612",27304491,2
"CA612",27304492,85
"CA612",27304493,2
"CA612",27304494,2
"CA612",27304495,2
"CA612",27304496,1
"CA612",27304497,1
"CA612",27304498,1
"CA612",27304499,3
"CA612",27304500,3
"CA612",27304501,1
"CA612",27304502,30
"CA612",27304503,28
"CA612",27304504,32
"CA612",27304505,85
"CA612",27304506,5
"CA612",27304507,2
"CA612",27304508,2
"CA612",27304509,2
"CA612",27304510,2
"CA612",27304511,2
"CA612",27304512,30
"CA612",27304513,25
"CA612",27304514,5
"CA612",27304515,1
"CA612",27304516,1
"CA612",27304517,1
"CA612",27304518,1
"CA612",27304519,1
"CA612",27304520,35
"CA612",27304521,80
"CA612",27304522,2
"CA612",27304523,2
"CA612",27304524,9
"CA612",27304525,2
"CA612",27304526,3
"CA612",27304527,2
"CA612",27304528,5
"CA612",27304529,1
"CA612",27304530,1
"CA612",27304531,1
"CA612",27304532,1
"CA612",27304533,1
"CA612",27304534,30
"CA612",27304535,25
"CA612",27304536,35
"CA612",27304537,50
"CA612",27304538,2
"CA612",27304539,3
"CA612",27304540,3
"CA612",27304541,40
"CA612",27304542,2
"CA612",27304543,30
"CA612",27304544,20
"CA612",27304545,2
"CA612",27304546,1
"CA612",27304547,2
"CA612",27304548,2
"CA612",27304549,2
"CA612",27304550,5
"CA612",27304551,1
"CA612",27304552,35
"CA612",27304553,25
"CA612",27304554,30
"CA612",27304555,5
"CA612",27304556,3
"CA612",27304557,2
"CA612",27304558,35
"CA612",27304559,75
"CA612",27304560,3
"CA612",27304561,3
"CA612",27304562,6
"CA612",27304563,13
"CA612",27304564,45
"CA612",27304565,40
"CA612",27304566,2
"CA612",27304567,2
"CA612",27304568,2
"CA612",27304569,3
"CA612",27304570,3
"CA612",27304571,2
"CA612",27304572,1
"CA612",27304573,4
"CA612",27304574,1
"CA612",27304575,2
"CA612",27304576,3
"CA612",27304577,30
"CA612",27304578,60
"CA612",27304579,85
"CA612",27304580,5
"CA612",27304581,5
"CA612",27304582,5
"CA612",27304583,30
"CA612",27304584,4
"CA612",27304585,1
"CA612",27304586,2
"CA612",27304587,3
"CA612",27304588,60
"CA612",27304589,85
